"cutscene.cellien.serval.save.0"		"* Bu ses!"
"cutscene.savannah.lake.24"			"* Pekala.{w}&* Göreceğiz bakalım."
"cutscene.savannah.lake.25"			"* Yüzebiliyor musun?"
"cutscene.savannah.lake.26"			"* Hayır mı?"
"cutscene.savannah.lake.27"			"* Tamam, koşman nasıl?"
"cutscene.savannah.lake.28"			"* Utanç verici..."
"cutscene.savannah.lake.29"			"* Uçmak konusunda nasılsın?"
"cutscene.savannah.lake.30"			"* Bu yoldaşın sana fayda&  etmez, Serval."
"cutscene.savannah.lake.31"			"* Savaşta bunun gibi bir&  çocuğu yalnız bırakmak&  istemezsin, öyle değil mi?"
"cutscene.savannah.lake.32"			"* Hem ikinize koşmayı öğretsem?"
"cutscene.savannah.lake.33"			"* Öğretmek mi!? &* Bence--"
"cutscene.savannah.lake.34"			"* Tembellik böyle bir&  zamanda işe yaramaz, Serval&* Bu önemli."
"cutscene.savannah.lake.35"			"* (Yine başlıyoruz...)"
"cutscene.savannah.lake.36"			"* Pekala!&* Sizin bir dakikanızı&  alacak derse hazır olun."
"cutscene.savannah.lake.37"			"* Hippo'nun kelimelerini&  dikkatlice dinledim ve yeni&  şeyler kazandım."
"cutscene.savannah.lake.38"			"* Bu teknik kesinlikle işime&  yarayacak."
"cutscene.savannah.lake.39"			"* \"{color `yellow`}KOŞMA{color `white`}\" &  yeteneğini kazandım!"
"cutscene.savannah.lake.40"			"* Bu...{w} HİÇ iyi gitmedi."
"cutscene.savannah.lake.41"			"* En azından Kaban üç beş&  şey öğrendi."
"cutscene.savannah.lake.42"			"* Bu kadar ön yargılı olmamayı&  öğrenmelisin, biliyorsun."
"cutscene.savannah.lake.43"			"* Eee... haydi gidelim!"
"cutscene.savannah.lake.44"			"[X] veya [SHIFT]'e basarak koş!"

"cutscene.savannah.bridge.before_fight.0"	"* Ne yaptığını sanıyorsun?"
"cutscene.savannah.bridge.before_fight.1"	"* Bir saniyeliğine önünde&  bir tehlike olduğunun&  farkına varabilir misin?"
"cutscene.savannah.bridge.before_fight.2"	"* Bak, sadece&  Hippo-chan'ı dinle."
"cutscene.savannah.bridge.before_fight.3"	"* Sesinin garip olduğunun&  farkındayım, ama bu&  kritik."
"cutscene.savannah.bridge.before_fight.4"	"* O garip birisi değil,&  o sadece..."
"cutscene.savannah.bridge.before_fight.5"	"* O sadece kendisini&  korumayı çok iyi bilir."
"cutscene.savannah.bridge.before_fight.6"	"* Ama beni en çok korkutan&  şey bu."
"cutscene.savannah.bridge.before_fight.7"	"* Bugüne kadar, yerel&  halkın dün gibi burada&  yaşadığını biliyorum."
"cutscene.savannah.bridge.before_fight.8"	"* Ama şimdi benim yardımıma&  ihtiyaçları var."
"cutscene.savannah.bridge.before_fight.9"	"* Şapşal olmayı da bırakmam&  lazım."
"cutscene.savannah.bridge.before_fight.10"	"* Görüyorsun KABAN, bu&  çok tehlikeli."
"cutscene.savannah.bridge.before_fight.11"	"* Şimdi kendine güzel&  bir saklanma alanı bul,&  tamam mı?"
"cutscene.savannah.bridge.before_fight.12"	"* Ve bütün işi bana bırak."

"cutscene.savannah.bridge.before_fight.confirm.0"	"* Beni anlayacağını&  biliyordum, KABAN."
"cutscene.savannah.bridge.before_fight.confirm.1"	"* Hemen şimdi!{w}&* Gölete geri dön!"

"cutscene.savannah.bridge.before_fight.decline.0"	"* Önündeki tehlikeyi&  şimdiden unuttun mu&  yoksa?"
"cutscene.savannah.bridge.before_fight.decline.1"	"* Ciddiyim KABAN, ve&  senin ölmeni istemiyorum."
"cutscene.savannah.bridge.before_fight.decline.2"	"* Lütfen..."
"cutscene.savannah.bridge.before_fight.decline.3"	"* .........{w}&* ............"
"cutscene.savannah.bridge.before_fight.decline.4"	"* Tamam, KABAN.{w}&* Seni bir kereliğine&  savaşın içine sokacağım."
"cutscene.savannah.bridge.before_fight.decline.5"	"* Belki... bir kişi yapamaz&  ama iki kişi daha iyi&  yapar."

"cutscene.savannah.post_battle.0"	"* Hey, o devasa yardımın&  için sağ ol."
"cutscene.savannah.post_battle.1"	"* Sensiz bu imkansız&  olabilirdi."
"cutscene.savannah.post_battle.2"	"* Yani, bu şimdi&  ayrılmamız gerektiği,&  anlamına geliyor, değil mi?"
"cutscene.savannah.post_battle.3"	"* Seni çok özleyeceğim."
"cutscene.savannah.post_battle.4"	"* Seninle zaman geçirmem&  gerçekten hoştu."
"cutscene.savannah.post_battle.5"	"* Doğruyu söylemek gerekirse,&  seninle gelmeyi çok&  isterim, ama gelemem."
"cutscene.savannah.post_battle.6"	"* Ama sorun yok!{w}&* Endişelenmem gereken&  hiçbir şey yok."
"cutscene.savannah.post_battle.7"	"* Lütfen bana bir&  iyilik yap, tamam mı?"
"cutscene.savannah.post_battle.8"	"* O şapkayı ASLA kaybetme."
"cutscene.savannah.post_battle.9"	"* Dünya'daki en önemli&  kişinin hatırasıdır bu."
"cutscene.savannah.post_battle.10"	"* Zor anlarda bile bu&  şapka seni tehlikelerden&  korur."
"cutscene.savannah.post_battle.11"	"* {color `red`}SADECE BU ŞAPKA{color `white`} seni korur."
"cutscene.savannah.post_battle.12"	"* Anlaşıldı mı?"
"cutscene.savannah.post_battle.13"	"* Şimdi gitmem gerekiyor."
"cutscene.savannah.post_battle.14"	"* Eminim bir dahaki sefere&  görüşebiliriz."
"cutscene.savannah.post_battle.15"	"* Aa...?{w}&* Şapkanın sahibi mi?"
"cutscene.savannah.post_battle.16"	"* Dünya'daki en önemli&  kişinindir bu."
"cutscene.savannah.post_battle.17"	"* Görüşürüz!"
