"cutscene.plains.chameleon_talk.0"						"* ¡Alce! ¡Alce!"
"cutscene.plains.porcupine_shrine.talk.2"					"* Estoy tratando de&  atrapar al alce, pero...&{w}  ¿te estoy usando?"
"cutscene.plains.porcupine_shrine.talk.3"					"* ¿Podría ser algún tipo&  de acoso?{w} No tan&  extraño, es eh..."

"cutscene.plains.porcupine_shrine.talk.4"					"* Aunque podría estar&  protegiéndote."
"cutscene.plains.porcupine_shrine.talk.5"					"* No sé mucho sobre&  la ley; Japari Park no&  tiene ninguna."

"cutscene.plains.porcupine_shrine.talk.6"					"* Bueno, ¡eso es lo que&  quería decir!{w} ¡Pensé que&  era bueno conversar!"
"cutscene.plains.porcupine_shrine.talk.7"					"* ¡Tal vez puedas&  descubrir por qué&  te persiguen!"
"cutscene.plains.porcupine_shrine.talk.8"					"* Bueno, sera una lástima&  si lo descubres."
"cutscene.plains.porcupine_shrine.talk.9"					"* ¿Podemos proceder?"

"cutscene.plains.porcupine_shrine.battle_room.0"				"* ¿Ehh...?{char_dir 9 180} ¡Parece que&  algo está... mal!"
"cutscene.plains.porcupine_shrine.battle_room.1"				"* ¿¡Por qué es esto...{sleep 30}{face_emotion 6}!?&  ¡Espera!&* ¡No me dejes!"
"cutscene.plains.porcupine_shrine.battle_room.2"				"* ¿Hay alguien más aparte&  de nosotros?"
"cutscene.plains.porcupine_shrine.battle_room.3"				"{space_y -2}* ¡Pero las luces ya&  están abiertas!{w}&* ¡Entonces eso&  significa...!"

"cutscene.plains.porcupine_shrine.battle_room.chameleon.0"		"* ¿No te has dado cuenta?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.1"		"{space_y -2}* Soy Camaleón Pantera.&* Espero que la&  introducción esté&  bien hecha esta vez."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.2"		"* Me evacuaron antes y&  tuve que reconsiderar&  la situación, pero..."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.2"		"* ¡Nunca pensé que&  vendrías hasta aquí!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.3"		"* ¡Me preguntaba si&  viniste de visita y...!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.4"		"* No hay nada de malo&  en eso."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.5"		"* ¡Pensé que también&  habías venido a&  visitar el santuario!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.6"		"* ¡Oye!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.7"		"* Este es un lugar para&  pelear.&* Así que cállate."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.8"		"* Pelear te parece&  aterrador, ¿no es así?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.9"		"{space_y -2}* No hay necesidad de&  preocuparse.&* Ella no será demasiado&  dura contigo."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.10"		"* ¡Espere por favor!&  ¡Esto es una trampa!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.11"		"* ¿Emm?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.12"		"* ¡Se supone que las&  amigas no deben pelear!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.13"		"* De hecho, ¡podemos&  lastimarnos unos&  a otros!"

"cutscene.plains.porcupine_shrine.battle_room.chameleon.14.alt"	"* Y... ¡la sensación&  de que algo molesto&  va a suceder!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.15.alt"	"* Debes estar bromeando."

"cutscene.plains.porcupine_shrine.battle_room.chameleon.14"		"* ¡No! ¡Ella no quiere&  pelear! Ni quiero en&  realidad."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.15"		"* ¿En serio?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.16"		"* Em... no me importa"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.17"		"* ¿Quién anda ahí?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.18"		"* ¡Dios! La puerta no se&  moverá!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.19"		"* ¡Yaaaa!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.20"		"* No cierres la puerta la&  próxima vez."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.21"		"* Ahh... Como haría un&  alce genérico..."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.22"		"* ¡Acércate todo lo que&  quieras!&* ¡Lucharemos!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.23"		"* ¡De eso estoy hablando!&* ¿No me entiendes?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.24"		"* ¡Alce! ¡Deja de&  escucharlos!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.25"		"* Entonces, ¿por qué no&  los detienes?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.26"		"* ¿¡Alce!?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.27"		"* ¡Escucha, Cameleón! ¡Es&  fácil de entender!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.28"		"* ¡El perdedor escuchará lo&  que dice el ganador!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.29"		"* ¡Es la forma más rápida&  de hacer realidad un&  deseo!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.30"		"* Esto puede ser cierto,&  pero..."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.31"		"* Cameleón desea que&  ustedes dos la&  escuchen..."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.32"		"* No queria pelear"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.33"		"* Entonces deseas que no&  te atrapen."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.34"		"* ¡Entonces luchemos por&  los deseos de&  los demás!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.35"		"* ¡Alce! ¡Mi deseo! What's that&  going to happen!?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.36"		"* ¡Ustedes dos! ¿Algún deseo?"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.37"		"* Eem... ¡Bueno uno!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.38"		"* ¡Si ganamos, seamos amigas!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.39"		"* Está bien."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.40"		"* ¡Oye oye! Soy la alce, y..."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.41"		"* Soy Camaleón Pantera."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.42"		"* ¡Sin nosotros dos, no&  es más que diversión&  a ciegas!"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.43"		"* Ah, Camaleón. Está&  arreglado entonces."
"cutscene.plains.porcupine_shrine.battle_room.chameleon.44"		"* ......"
"cutscene.plains.porcupine_shrine.battle_room.chameleon.45"		"* ¡Tengan cuidado!"
